Peildatum,Jaar,WijkCode,Wijk,AantalInwoners,Aantal_0_15,Aantal_15_25,pct_0_15,pct_15_25
2024-01-01,2024,WK003466,WK003466  ,3310,730,220,22.054380664652566,6.646525679758309
2025-01-01,2025,WK003466,WK003466  ,3375,740,235,21.925925925925927,6.962962962962963
2022-01-01,2022,WK003475,WK003475  ,1440,155,170,10.76388888888889,11.805555555555555
2023-01-01,2023,WK003475,WK003475  ,1595,200,170,12.539184952978054,10.658307210031348
2024-01-01,2024,WK003475,WK003475  ,1605,215,160,13.395638629283487,9.968847352024921
2025-01-01,2025,WK003475,WK003475  ,1620,215,155,13.271604938271606,9.5679012345679
2022-01-01,2022,WK003476,WK003476  ,3375,1115,270,33.03703703703704,8.0
2023-01-01,2023,WK003476,WK003476  ,3725,1235,300,33.15436241610738,8.053691275167784
2024-01-01,2024,WK003476,WK003476  ,4070,1330,340,32.67813267813268,8.353808353808354
2025-01-01,2025,WK003476,WK003476  ,4400,1410,420,32.04545454545455,9.545454545454547
2022-01-01,2022,WK003477,WK003477  ,3310,710,235,21.45015105740181,7.099697885196375
2023-01-01,2023,WK003477,WK003477  ,4625,995,345,21.513513513513512,7.45945945945946
2024-01-01,2024,WK003477,WK003477  ,5230,1115,400,21.319311663479922,7.648183556405354
2025-01-01,2025,WK003477,WK003477  ,6135,1300,465,21.189894050529748,7.579462102689487
2022-01-01,2022,WK003485,WK003485  ,90,5,15,5.555555555555555,16.666666666666664
2023-01-01,2023,WK003485,WK003485  ,85,10,10,11.76470588235294,11.76470588235294
2024-01-01,2024,WK003485,WK003485  ,80,5,15,6.25,18.75
