"Bevolking; geslacht, leeftijd en viercijferige postcode, 1 januari"
"Geslacht: Totaal mannen en vrouwen"
"";"";""
"";"";"Perioden";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2024";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025";"2025"
"Onderwerp";"Leeftijd";"Postcode";"Nederland";"1309";"1311";"1312";"1313";"1314";"1315";"1316";"1317";"1318";"1319";"1321";"1322";"1323";"1324";"1325";"1326";"1327";"1328";"1329";"1331";"1332";"1333";"1334";"1335";"1336";"1338";"1339";"1341";"1343";"1349";"1351";"1352";"1353";"1354";"1355";"1356";"1357";"1358";"1359";"1361";"1362";"1363";"Nederland";"1309";"1311";"1312";"1313";"1314";"1315";"1316";"1317";"1318";"1319";"1321";"1322";"1323";"1324";"1325";"1326";"1327";"1328";"1329";"1331";"1332";"1333";"1334";"1335";"1336";"1338";"1339";"1341";"1343";"1349";"1351";"1352";"1353";"1354";"1355";"1356";"1357";"1358";"1359";"1361";"1362";"1363";"Nederland";"1309";"1311";"1312";"1313";"1314";"1315";"1316";"1317";"1318";"1319";"1321";"1322";"1323";"1324";"1325";"1326";"1327";"1328";"1329";"1331";"1332";"1333";"1334";"1335";"1336";"1338";"1339";"1341";"1343";"1349";"1351";"1352";"1353";"1354";"1355";"1356";"1357";"1358";"1359";"1361";"1362";"1363";"Nederland";"1309";"1311";"1312";"1313";"1314";"1315";"1316";"1317";"1318";"1319";"1321";"1322";"1323";"1324";"1325";"1326";"1327";"1328";"1329";"1331";"1332";"1333";"1334";"1335";"1336";"1338";"1339";"1341";"1343";"1349";"1351";"1352";"1353";"1354";"1355";"1356";"1357";"1358";"1359";"1361";"1362";"1363"
"Bevolking";"Totaal leeftijd";"aantal";"17590672";"35";"4755";"6960";"4310";"6050";"4165";"4060";"4060";"9560";"7290";"9705";"";"6210";"10385";"10370";"11150";"0";"9895";"";"200";"5";"12455";"2325";"12410";"9120";"9640";"11255";"3375";"1445";"3330";"1990";"1695";"4890";"3025";"3070";"2710";"3490";"580";"2435";"3975";"40";"15370";"17811291";"35";"4900";"6895";"4250";"6865";"4390";"4070";"3995";"9530";"7335";"9660";"125";"6180";"10470";"10520";"11135";"5";"9930";"";"200";"10";"12445";"2385";"12490";"9190";"9615";"11240";"3730";"1595";"4640";"1960";"1710";"4925";"3145";"3060";"2735";"3480";"605";"2585";"4445";"475";"15870";"17942942";"35";"4860";"6935";"4210";"6830";"4885";"4070";"4065";"9485";"7335";"9695";"140";"6255";"10455";"10675";"11100";"5";"9915";"";"195";"10";"12450";"2465";"12475";"9810";"9665";"11305";"4070";"1605";"5245";"2010";"1695";"4975";"3160";"3065";"2750";"3440";"695";"2660";"4665";"990";"16155";"18044027";"35";"4960";"6880";"4230";"6860";"4910";"4050";"4175";"9360";"7315";"9645";"125";"6215";"10460";"10600";"10960";"10";"9985";"";"205";"10";"12525";"2400";"12350";"9855";"9710";"11360";"4405";"1620";"6150";"2000";"1740";"5040";"3150";"3035";"2810";"3515";"780";"2655";"4830";"2405";"16255"
"Bevolking";"0 tot 5 jaar";"aantal";"864653";"0";"275";"360";"265";"405";"215";"165";"220";"500";"615";"455";"";"280";"510";"495";"565";"0";"505";"";"10";"0";"715";"125";"710";"600";"465";"640";"495";"55";"255";"125";"95";"275";"190";"180";"150";"170";"15";"195";"445";"10";"1510";"868155";"0";"280";"345";"260";"395";"240";"170";"230";"495";"580";"465";"5";"300";"545";"535";"590";"0";"500";"";"10";"0";"690";"115";"745";"575";"495";"640";"515";"70";"380";"115";"100";"275";"195";"180";"150";"175";"15";"205";"485";"65";"1485";"863862";"0";"305";"355";"245";"375";"245";"175";"230";"485";"535";"475";"5";"340";"545";"540";"625";"0";"480";"";"10";"0";"675";"125";"720";"640";"500";"625";"520";"75";"425";"120";"80";"270";"195";"180";"145";"165";"25";"210";"495";"125";"1435";"858425";"0";"295";"355";"240";"370";"255";"185";"255";"475";"470";"460";"0";"330";"525";"505";"565";"0";"520";"";"10";"0";"655";"120";"690";"620";"505";"635";"515";"75";"560";"110";"90";"275";"190";"150";"150";"170";"35";"200";"485";"295";"1345"
"Bevolking";"5 tot 10 jaar";"aantal";"894620";"5";"245";"385";"250";"360";"150";"155";"215";"500";"705";"585";"";"275";"600";"490";"590";"0";"560";"";"5";"0";"715";"95";"675";"710";"510";"630";"370";"55";"250";"105";"100";"300";"180";"180";"155";"200";"20";"180";"320";"10";"1405";"898651";"0";"265";"395";"245";"385";"150";"155";"215";"500";"710";"565";"5";"295";"595";"505";"560";"0";"555";"";"5";"0";"750";"100";"645";"665";"510";"630";"415";"65";"345";"110";"95";"290";"185";"175";"165";"195";"20";"200";"375";"45";"1380";"898518";"0";"270";"395";"245";"375";"190";"170";"230";"480";"680";"565";"5";"280";"580";"495";"565";"0";"560";"";"5";"0";"745";"100";"670";"670";"535";"640";"470";"80";"395";"120";"100";"305";"180";"175";"170";"175";"30";"190";"410";"95";"1375";"893434";"0";"255";"395";"250";"370";"210";"175";"230";"495";"685";"555";"0";"310";"565";"525";"595";"0";"530";"";"5";"0";"770";"100";"680";"670";"525";"625";"510";"85";"435";"115";"100";"295";"185";"190";"175";"160";"35";"195";"415";"215";"1370"
"Bevolking";"10 tot 15 jaar";"aantal";"953188";"0";"255";"375";"210";"365";"135";"200";"245";"580";"635";"710";"";"310";"710";"585";"690";"0";"710";"";"10";"0";"765";"75";"845";"755";"590";"780";"255";"45";"205";"90";"70";"260";"200";"210";"150";"165";"45";"170";"220";"0";"980";"960571";"0";"265";"380";"205";"375";"140";"205";"235";"535";"660";"690";"5";"290";"685";"570";"670";"0";"670";"";"5";"0";"765";"80";"825";"765";"560";"725";"300";"65";"270";"90";"75";"290";"215";"210";"155";"165";"45";"175";"240";"50";"1075";"951660";"0";"250";"390";"200";"370";"150";"195";"235";"490";"665";"690";"0";"310";"675";"555";"640";"0";"650";"";"10";"0";"770";"80";"775";"795";"520";"705";"335";"60";"290";"110";"75";"290";"190";"215";"170";"165";"45";"195";"260";"65";"1105";"946675";"0";"250";"385";"210";"360";"155";"175";"230";"485";"655";"665";"5";"280";"670";"505";"605";"0";"605";"";"5";"0";"775";"85";"705";"760";"520";"710";"380";"60";"310";"120";"85";"295";"200";"205";"185";"200";"45";"190";"300";"175";"1165"
"Bevolking";"15 tot 20 jaar";"aantal";"1025356";"0";"225";"420";"195";"370";"110";"220";"235";"725";"470";"810";"";"320";"740";"695";"850";"0";"795";"";"15";"0";"765";"75";"950";"645";"630";"910";"165";"95";"140";"80";"90";"250";"205";"200";"150";"145";"60";"160";"155";"5";"705";"1023081";"0";"225";"385";"205";"415";"135";"215";"225";"685";"500";"760";"5";"315";"765";"675";"830";"0";"785";"";"15";"0";"745";"85";"900";"650";"615";"865";"190";"80";"180";"80";"95";"235";"185";"200";"145";"150";"65";"175";"175";"30";"755";"1019219";"0";"205";"390";"200";"430";"150";"205";"220";"680";"540";"735";"0";"290";"750";"650";"765";"0";"760";"";"10";"0";"745";"90";"890";"720";"600";"855";"225";"70";"200";"70";"95";"235";"200";"210";"140";"165";"75";"180";"185";"70";"785";"1020947";"0";"245";"365";"210";"415";"155";"200";"225";"635";"580";"735";"0";"310";"750";"645";"745";"0";"775";"";"15";"0";"775";"80";"865";"745";"600";"820";"250";"60";"235";"90";"85";"250";"200";"215";"150";"140";"75";"175";"195";"140";"815"
"Bevolking";"20 tot 25 jaar";"aantal";"1132885";"0";"285";"415";"255";"330";"330";"190";"225";"715";"290";"675";"";"335";"675";"875";"835";"0";"700";"";"25";"0";"805";"125";"960";"465";"620";"795";"105";"80";"100";"75";"90";"250";"190";"165";"115";"155";"30";"115";"130";"0";"720";"1167263";"5";"280";"415";"240";"510";"340";"195";"220";"720";"310";"695";"30";"335";"690";"855";"820";"0";"705";"";"20";"0";"820";"120";"940";"490";"580";"820";"110";"95";"170";"75";"85";"240";"225";"170";"130";"150";"30";"120";"170";"35";"745";"1182940";"5";"265";"425";"230";"485";"445";"200";"220";"685";"325";"700";"35";"355";"705";"845";"825";"0";"735";"";"15";"0";"810";"125";"900";"555";"610";"830";"115";"95";"205";"85";"90";"240";"215";"165";"130";"145";"40";"130";"155";"75";"740";"1184576";"5";"280";"395";"220";"485";"385";"200";"220";"680";"325";"700";"30";"325";"690";"820";"815";"5";"735";"";"20";"0";"775";"120";"900";"570";"605";"820";"170";"95";"235";"70";"110";"250";"215";"170";"130";"160";"45";"120";"165";"180";"815"
"Bron: CBS"
