Stadsdeel;2018;2021;groei;percentage_groei;totaal_nieuwbouw
Buiten;7730;7780;50;0.646830530401035;1127.0
Haven;2420;2465;45;1.859504132231405;396.0
Hout;235;555;320;136.17021276595744;1715.0
Poort;1220;1600;380;31.147540983606557;2427.0
Stad;14890;14625;-265;-1.7797179314976492;416.0
