Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Jaar,pct_0_15,pct_15_25,Jeugdzorg,Jeugdzorg_lag1
2023-01-01,WK003429  ,6180,885,655,2023,14.320388349514564,10.598705501618124,1540,1515.0
2024-01-01,WK003429  ,6260,925,640,2024,14.77635782747604,10.22364217252396,1565,1540.0
2025-01-01,WK003429  ,6210,925,635,2025,14.895330112721416,10.225442834138486,1560,1565.0
2023-01-01,WK003430  ,9665,1725,1455,2023,17.847904811174338,15.054319710294878,3180,3240.0
2024-01-01,WK003430  ,9695,1735,1430,2024,17.895822588963384,14.7498710675606,3165,3180.0
2025-01-01,WK003430  ,9650,1680,1440,2025,17.409326424870468,14.922279792746112,3120,3165.0
2023-01-01,WK003431  ,8080,2015,900,2023,24.93811881188119,11.13861386138614,2915,2870.0
2024-01-01,WK003431  ,8050,1945,940,2024,24.16149068322981,11.677018633540373,2885,2915.0
2025-01-01,WK003431  ,8030,1870,990,2025,23.28767123287671,12.32876712328767,2860,2885.0
2025-01-01,WK003432  ,240,5,20,2025,2.083333333333333,8.333333333333332,25,35.0
2024-01-01,WK003435  ,45,5,10,2024,11.11111111111111,22.22222222222222,15,10.0
2025-01-01,WK003435  ,50,10,5,2025,20.0,10.0,15,15.0
2023-01-01,WK003437  ,150,20,55,2023,13.333333333333334,36.66666666666666,75,35.0
2024-01-01,WK003437  ,155,15,55,2024,9.67741935483871,35.483870967741936,70,75.0
2025-01-01,WK003437  ,150,10,50,2025,6.666666666666667,33.33333333333333,60,70.0
2023-01-01,WK003441  ,2380,290,205,2023,12.184873949579831,8.61344537815126,495,495.0
2024-01-01,WK003441  ,2465,305,215,2024,12.373225152129818,8.72210953346856,520,495.0
2025-01-01,WK003441  ,2400,310,200,2025,12.916666666666668,8.333333333333332,510,520.0
2023-01-01,WK003442  ,5800,1095,935,2023,18.879310344827584,16.120689655172413,2030,2075.0
2024-01-01,WK003442  ,5770,1040,940,2024,18.02426343154246,16.291161178509533,1980,2030.0
2025-01-01,WK003442  ,5675,975,930,2025,17.180616740088105,16.387665198237887,1905,1980.0
2023-01-01,WK003443  ,5050,895,720,2023,17.722772277227723,14.257425742574256,1615,1630.0
2024-01-01,WK003443  ,5045,895,675,2024,17.74033696729435,13.37958374628345,1570,1615.0
2025-01-01,WK003443  ,5025,880,665,2025,17.512437810945276,13.233830845771145,1545,1570.0
2023-01-01,WK003444  ,4015,770,495,2023,19.17808219178082,12.32876712328767,1265,1250.0
2024-01-01,WK003444  ,3990,740,510,2024,18.546365914786968,12.781954887218044,1250,1265.0
2025-01-01,WK003444  ,4025,740,525,2025,18.385093167701864,13.043478260869565,1265,1250.0
2023-01-01,WK003445  ,4370,750,530,2023,17.162471395881006,12.128146453089244,1280,1285.0
2024-01-01,WK003445  ,4375,750,520,2024,17.142857142857142,11.885714285714286,1270,1280.0
2025-01-01,WK003445  ,4455,760,535,2025,17.059483726150393,12.00897867564534,1295,1270.0
2023-01-01,WK003446  ,4010,675,520,2023,16.83291770573566,12.967581047381548,1195,1205.0
2024-01-01,WK003446  ,4030,685,515,2024,16.997518610421835,12.779156327543426,1200,1195.0
2025-01-01,WK003446  ,3990,680,485,2025,17.042606516290725,12.155388471177943,1165,1200.0
2023-01-01,WK003447  ,4335,700,585,2023,16.147635524798154,13.494809688581316,1285,1320.0
2024-01-01,WK003447  ,4320,690,570,2024,15.97222222222222,13.194444444444445,1260,1285.0
2025-01-01,WK003447  ,4310,680,555,2025,15.777262180974477,12.877030162412993,1235,1260.0
2023-01-01,WK003448  ,5275,865,615,2023,16.398104265402843,11.658767772511847,1480,1490.0
2024-01-01,WK003448  ,5280,865,615,2024,16.382575757575758,11.647727272727272,1480,1480.0
2025-01-01,WK003448  ,5275,865,620,2025,16.398104265402843,11.753554502369669,1485,1480.0
2023-01-01,WK003449  ,5235,905,775,2023,17.28748806112703,14.80420248328558,1680,1735.0
2024-01-01,WK003449  ,5260,915,760,2024,17.39543726235741,14.44866920152091,1675,1680.0
2025-01-01,WK003449  ,5295,915,755,2025,17.280453257790366,14.258734655335225,1670,1675.0
2023-01-01,WK003450  ,2645,475,260,2023,17.958412098298677,9.829867674858225,735,755.0
2024-01-01,WK003450  ,3240,610,345,2024,18.82716049382716,10.648148148148149,955,735.0
