Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9
2023-01-01,WK003443  ,5050,895,720
2024-01-01,WK003443  ,5045,895,675
2025-01-01,WK003443  ,5025,880,665
2022-01-01,WK003444  ,3985,755,495
2023-01-01,WK003444  ,4015,770,495
2024-01-01,WK003444  ,3990,740,510
2025-01-01,WK003444  ,4025,740,525
2022-01-01,WK003445  ,4395,755,530
2023-01-01,WK003445  ,4370,750,530
2024-01-01,WK003445  ,4375,750,520
2025-01-01,WK003445  ,4455,760,535
2022-01-01,WK003446  ,4005,670,535
2023-01-01,WK003446  ,4010,675,520
2024-01-01,WK003446  ,4030,685,515
2025-01-01,WK003446  ,3990,680,485
2022-01-01,WK003447  ,4375,685,635
2023-01-01,WK003447  ,4335,700,585
2024-01-01,WK003447  ,4320,690,570
2025-01-01,WK003447  ,4310,680,555
2022-01-01,WK003448  ,5265,880,610
2023-01-01,WK003448  ,5275,865,615
2024-01-01,WK003448  ,5280,865,615
2025-01-01,WK003448  ,5275,865,620
2022-01-01,WK003449  ,5285,925,810
2023-01-01,WK003449  ,5235,905,775
2024-01-01,WK003449  ,5260,915,760
2025-01-01,WK003449  ,5295,915,755
2022-01-01,WK003450  ,2590,470,285
2023-01-01,WK003450  ,2645,475,260
2024-01-01,WK003450  ,3240,610,345
2025-01-01,WK003450  ,3275,605,355
2022-01-01,WK003451  ,5975,1120,890
2023-01-01,WK003451  ,6000,1090,905
2024-01-01,WK003451  ,6045,1050,930
2025-01-01,WK003451  ,6065,1065,885
2022-01-01,WK003452  ,7095,1640,895
2023-01-01,WK003452  ,7105,1590,920
2024-01-01,WK003452  ,7140,1565,945
2025-01-01,WK003452  ,7150,1510,970
2022-01-01,WK003453  ,1025,185,140
2023-01-01,WK003453  ,1085,170,145
2024-01-01,WK003453  ,1080,160,160
2025-01-01,WK003453  ,1080,150,165
2022-01-01,WK003456  ,60,10,10
2023-01-01,WK003456  ,60,10,10
2024-01-01,WK003456  ,55,15,5
2025-01-01,WK003456  ,55,15,15
2022-01-01,WK003458  ,200,25,35
2023-01-01,WK003458  ,195,25,40
2024-01-01,WK003458  ,190,20,30
2025-01-01,WK003458  ,205,20,35
2025-01-01,WK003459  ,155,5,35
2022-01-01,WK003460  ,35,20,10
2023-01-01,WK003460  ,470,155,70
2024-01-01,WK003460  ,920,280,130
2025-01-01,WK003460  ,2275,680,280
2022-01-01,WK003461  ,4635,950,445
2023-01-01,WK003461  ,4810,975,405
2024-01-01,WK003461  ,4805,945,395
2025-01-01,WK003461  ,4800,925,410
2022-01-01,WK003462  ,3180,800,290
2023-01-01,WK003462  ,3160,770,325
2024-01-01,WK003462  ,3325,785,340
2025-01-01,WK003462  ,3420,800,380
2022-01-01,WK003463  ,7560,2140,690
2023-01-01,WK003463  ,7900,2195,770
2024-01-01,WK003463  ,8025,2190,790
2025-01-01,WK003463  ,8040,2155,835
2022-01-01,WK003465  ,1110,350,105
2023-01-01,WK003465  ,1320,405,135
2024-01-01,WK003465  ,1355,435,115
2025-01-01,WK003465  ,1455,460,125
2022-01-01,WK003466  ,2865,635,185
2023-01-01,WK003466  ,3125,690,205
2024-01-01,WK003466  ,3310,730,220
2025-01-01,WK003466  ,3375,740,235
2022-01-01,WK003475  ,1440,155,170
2023-01-01,WK003475  ,1595,200,170
2024-01-01,WK003475  ,1605,215,160
2025-01-01,WK003475  ,1620,215,155
2022-01-01,WK003476  ,3375,1115,270
2023-01-01,WK003476  ,3725,1235,300
2024-01-01,WK003476  ,4070,1330,340
2025-01-01,WK003476  ,4400,1410,420
2022-01-01,WK003477  ,3310,710,235
2023-01-01,WK003477  ,4625,995,345
2024-01-01,WK003477  ,5230,1115,400
2025-01-01,WK003477  ,6135,1300,465
2022-01-01,WK003485  ,90,5,15
2023-01-01,WK003485  ,85,10,10
2024-01-01,WK003485  ,80,5,15
