Wijk,Jaar,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Ratio_0_15,Ratio_15_25
WK003447,2022,4375,685,635,,
WK003447,2023,4335,700,585,,
WK003447,2024,4320,690,570,,
WK003447,2025,4310,680,555,,
WK003448,2022,5265,880,610,,
WK003448,2023,5275,865,615,,
WK003448,2024,5280,865,615,,
WK003448,2025,5275,865,620,,
WK003449,2022,5285,925,810,,
WK003449,2023,5235,905,775,,
WK003449,2024,5260,915,760,,
WK003449,2025,5295,915,755,,
WK003450,2022,2590,470,285,,
WK003450,2023,2645,475,260,,
WK003450,2024,3240,610,345,,
WK003450,2025,3275,605,355,,
WK003451,2022,5975,1120,890,,
WK003451,2023,6000,1090,905,,
WK003451,2024,6045,1050,930,,
WK003451,2025,6065,1065,885,,
WK003452,2022,7095,1640,895,,
WK003452,2023,7105,1590,920,,
WK003452,2024,7140,1565,945,,
WK003452,2025,7150,1510,970,,
WK003453,2022,1025,185,140,,
WK003453,2023,1085,170,145,,
WK003453,2024,1080,160,160,,
WK003453,2025,1080,150,165,,
WK003456,2022,60,10,10,,
WK003456,2023,60,10,10,,
WK003456,2024,55,15,5,,
WK003456,2025,55,15,15,,
WK003458,2022,200,25,35,,
WK003458,2023,195,25,40,,
WK003458,2024,190,20,30,,
WK003458,2025,205,20,35,,
WK003459,2025,155,5,35,,
WK003460,2022,35,20,10,,
WK003460,2023,470,155,70,,
WK003460,2024,920,280,130,,
WK003460,2025,2275,680,280,,
WK003461,2022,4635,950,445,,
WK003461,2023,4810,975,405,,
WK003461,2024,4805,945,395,,
WK003461,2025,4800,925,410,,
WK003462,2022,3180,800,290,,
WK003462,2023,3160,770,325,,
WK003462,2024,3325,785,340,,
WK003462,2025,3420,800,380,,
WK003463,2022,7560,2140,690,,
WK003463,2023,7900,2195,770,,
WK003463,2024,8025,2190,790,,
WK003463,2025,8040,2155,835,,
WK003465,2022,1110,350,105,,
WK003465,2023,1320,405,135,,
WK003465,2024,1355,435,115,,
WK003465,2025,1455,460,125,,
WK003466,2022,2865,635,185,,
WK003466,2023,3125,690,205,,
WK003466,2024,3310,730,220,,
WK003466,2025,3375,740,235,,
WK003475,2022,1440,155,170,,
WK003475,2023,1595,200,170,,
WK003475,2024,1605,215,160,,
WK003475,2025,1620,215,155,,
WK003476,2022,3375,1115,270,,
WK003476,2023,3725,1235,300,,
WK003476,2024,4070,1330,340,,
WK003476,2025,4400,1410,420,,
WK003477,2022,3310,710,235,,
WK003477,2023,4625,995,345,,
WK003477,2024,5230,1115,400,,
WK003477,2025,6135,1300,465,,
WK003485,2022,90,5,15,,
WK003485,2023,85,10,10,,
WK003485,2024,80,5,15,,
