Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Jaar,pct_0_15,pct_15_25
2018-01-01,WK003401  ,22790,3975,2420,2018,17.441860465116278,10.618692408951294
2019-01-01,WK003401  ,22875,3945,2415,2019,17.245901639344265,10.557377049180328
2020-01-01,WK003401  ,23275,4005,2485,2020,17.207303974221265,10.676691729323307
2021-01-01,WK003401  ,23530,4180,2465,2021,17.764555886102848,10.475988100297492
2022-01-01,WK003401  ,1635,175,150,2022,10.703363914373089,9.174311926605505
2023-01-01,WK003401  ,1740,190,160,2023,10.919540229885058,9.195402298850574
2024-01-01,WK003401  ,1765,195,135,2024,11.048158640226628,7.64872521246459
2025-01-01,WK003401  ,1810,220,160,2025,12.154696132596685,8.83977900552486
2018-01-01,WK003402  ,108800,19915,14890,2018,18.30422794117647,13.685661764705884
2019-01-01,WK003402  ,109260,19505,14975,2019,17.85191286838733,13.705839282445542
2020-01-01,WK003402  ,109805,19275,14890,2020,17.553845453303584,13.560402531760849
2021-01-01,WK003402  ,109415,18890,14625,2021,17.264543252753278,13.366540236713432
2022-01-01,WK003402  ,2860,490,305,2022,17.132867132867133,10.664335664335663
2023-01-01,WK003402  ,2860,495,305,2023,17.307692307692307,10.664335664335663
2024-01-01,WK003402  ,2880,485,315,2024,16.84027777777778,10.9375
2025-01-01,WK003402  ,2890,485,315,2025,16.782006920415224,10.899653979238755
2018-01-01,WK003403  ,56315,11190,7730,2018,19.870372014560953,13.726360649915653
2019-01-01,WK003403  ,56760,10955,7895,2019,19.300563777307964,13.909443269908387
2020-01-01,WK003403  ,56970,10700,7955,2020,18.781814990345797,13.963489555906616
2021-01-01,WK003403  ,56985,10480,7780,2021,18.39080459770115,13.652715626919365
2022-01-01,WK003403  ,2460,450,300,2022,18.29268292682927,12.195121951219512
2023-01-01,WK003403  ,2510,465,300,2023,18.52589641434263,11.952191235059761
2024-01-01,WK003403  ,2495,425,315,2024,17.034068136272545,12.625250501002002
2025-01-01,WK003403  ,2500,445,305,2025,17.8,12.2
2018-01-01,WK003404  ,13430,3375,1220,2018,25.13030528667163,9.084139985107967
